Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KABUPATEN MEMPAWAH,71.18,12.65,7.04,7758.0,66.03,2021
KABUPATEN SANGGAU,71.42,11.59,7.39,8328.0,66.2,2021
KABUPATEN KETAPANG,71.11,11.81,7.46,9209.0,67.43,2021
KABUPATEN SINTANG,71.84,12.04,7.08,8708.0,66.93,2021
KABUPATEN KAPUAS HULU,72.53,12.08,7.53,7168.0,65.75,2021
KABUPATEN SEKADAU,72.05,11.89,6.85,7462.0,64.93,2021
KABUPATEN MELAWI,72.98,11.17,6.91,8415.0,65.87,2021
KABUPATEN KAYONG UTARA,68.48,11.84,6.02,7920.0,62.9,2021
KABUPATEN KUBU RAYA,70.69,13.87,7.0,8630.0,68.16,2021
KOTA PONTIANAK,73.12,15.01,10.43,14610.0,79.93,2021
KOTA SINGKAWANG,72.18,12.91,7.9,11767.0,72.11,2021
KABUPATEN KEPULAUAN MENTAWAI,64.73,12.89,7.2,6321.0,61.35,2021
KABUPATEN PESISIR SELATAN,70.96,13.33,8.27,9270.0,70.03,2021
KABUPATEN SOLOK,68.79,13.05,7.87,10215.0,69.24,2021
KABUPATEN SIJUNJUNG,66.36,12.38,8.12,10389.0,67.86,2021
KABUPATEN TANAH DATAR,70.12,14.34,8.62,10616.0,72.46,2021
KABUPATEN PADANG PARIAMAN,68.97,13.68,7.88,11050.0,70.76,2021
KABUPATEN AGAM,72.53,13.88,8.97,9662.0,72.57,2021
KABUPATEN LIMA PULUH KOTA,69.84,13.3,8.07,9668.0,69.68,2021
KABUPATEN PASAMAN,67.59,12.81,8.1,8440.0,66.77,2021
KABUPATEN SOLOK SELATAN,68.01,12.72,8.32,10367.0,69.23,2021
KABUPATEN DHARMASRAYA,71.53,12.44,8.55,11324.0,71.76,2021
KABUPATEN PASAMAN BARAT,67.94,13.68,8.27,9089.0,68.76,2021
KOTA PADANG,73.69,16.53,11.59,14540.0,82.9,2021
KOTA SOLOK,73.73,14.33,11.04,12168.0,78.41,2021
KOTA SAWAH LUNTO,70.1,13.18,10.32,10195.0,72.88,2021
KOTA PADANG PANJANG,72.82,15.07,11.63,10754.0,77.97,2021
KOTA BUKITTINGGI,74.5,14.98,11.34,13331.0,80.7,2021
KOTA PAYAKUMBUH,73.84,14.27,10.81,13317.0,79.08,2021
KOTA PARIAMAN,70.38,14.55,10.67,12818.0,77.07,2021
KABUPATEN KOTAWARINGIN BARAT,70.68,12.73,8.53,13117.0,73.07,2021
KABUPATEN KOTAWARINGIN TIMUR,69.9,12.85,8.15,11866.0,71.38,2021
KABUPATEN KAPUAS,68.78,12.93,7.6,11148.0,69.63,2021
KABUPATEN BARITO SELATAN,67.19,12.66,8.95,11492.0,70.54,2021
KABUPATEN BARITO UTARA,71.3,12.5,8.85,9951.0,70.79,2021
KABUPATEN SUKAMARA,71.56,12.13,8.09,8773.0,68.27,2021
KABUPATEN LAMANDAU,69.39,12.49,8.43,11234.0,70.58,2021
KABUPATEN SERUYAN,69.26,12.0,7.96,9420.0,67.67,2021
KABUPATEN KATINGAN,65.87,12.81,8.68,10568.0,68.89,2021
KABUPATEN PULANG PISAU,68.1,12.42,8.19,10082.0,68.53,2021
KABUPATEN GUNUNG MAS,70.46,11.9,9.18,10809.0,71.03,2021
KABUPATEN BARITO TIMUR,68.31,12.84,9.23,11322.0,71.47,2021
KABUPATEN MURUNG RAYA,69.53,11.76,7.61,10449.0,68.12,2021
KOTA PALANGKA RAYA,73.24,14.96,11.53,14070.0,80.82,2021
KABUPATEN TANAH LAUT,69.59,12.31,7.89,11310.0,69.87,2021
KABUPATEN KOTA BARU,69.32,11.95,7.46,11720.0,69.13,2021
KABUPATEN BANJAR,67.41,12.73,7.52,12707.0,69.89,2021
KABUPATEN BARITO KUALA,66.27,12.4,7.55,9868.0,66.64,2021
KABUPATEN TAPIN,70.57,11.95,7.77,11952.0,70.31,2021
KABUPATEN HULU SUNGAI SELATAN,66.12,12.38,7.76,12736.0,69.21,2021
KABUPATEN HULU SUNGAI TENGAH,66.2,12.21,8.01,12280.0,69.05,2021
KABUPATEN HULU SUNGAI UTARA,64.1,12.92,7.75,9644.0,66.12,2021
KABUPATEN TABALONG,70.57,12.89,9.11,11470.0,72.6,2021
KABUPATEN TANAH BUMBU,70.45,12.48,7.97,11844.0,71.0,2021
KABUPATEN BALANGAN,67.85,12.47,7.69,11500.0,69.11,2021
KOTA BANJARMASIN,71.29,13.94,10.2,14432.0,77.57,2021
KOTA BANJAR BARU,72.1,14.82,10.96,13789.0,79.26,2021
KABUPATEN PASER,72.88,13.25,8.79,10673.0,72.93,2021
KABUPATEN KUTAI BARAT,73.1,13.02,8.7,10062.0,72.07,2021
KABUPATEN KUTAI KARTANEGARA,72.64,13.6,9.23,11048.0,74.06,2021
KABUPATEN KUTAI TIMUR,73.46,12.9,9.43,10868.0,73.81,2021
KABUPATEN BERAU,72.32,13.33,9.53,12435.0,75.2,2021
KABUPATEN PENAJAM PASER UTARA,71.68,12.57,8.36,11651.0,72.01,2021
KABUPATEN MAHAKAM HULU,72.33,12.61,8.18,7802.0,67.95,2021
KOTA BALIKPAPAN,74.76,14.22,10.91,14862.0,80.71,2021
KOTA SAMARINDA,74.54,15.09,10.49,14582.0,80.76,2021
KOTA BONTANG,74.55,13.17,10.8,16765.0,80.59,2021
KABUPATEN MALINAU,71.49,13.31,9.4,9928.0,72.32,2021
KABUPATEN BULUNGAN,72.74,13.01,9.19,9423.0,71.8,2021
KABUPATEN TANA TIDUNG,71.49,12.22,8.8,7676.0,67.76,2021
KABUPATEN NUNUKAN,71.4,12.65,8.17,7064.0,66.46,2021
KOTA TARAKAN,74.04,14.03,9.98,11261.0,76.23,2021
KABUPATEN BOLAANG MONGONDOW,69.45,11.53,8.03,10220.0,68.16,2021
KABUPATEN MINAHASA,71.16,14.15,9.73,12481.0,75.73,2021
KABUPATEN KEPULAUAN SANGIHE,70.18,12.47,8.34,11524.0,71.07,2021
KABUPATEN KEPULAUAN TALAUD,70.24,12.59,9.72,8558.0,69.83,2021
KABUPATEN MINAHASA SELATAN,70.01,12.83,9.09,11554.0,72.32,2021
KABUPATEN MINAHASA UTARA,71.4,12.92,10.0,11481.0,74.11,2021
KABUPATEN BOLAANG MONGONDOW UTARA,67.73,12.17,8.41,9143.0,67.39,2021
KABUPATEN SIAU TAGULANDANG BIARO,70.87,11.86,9.03,8145.0,68.05,2021
KABUPATEN MINAHASA TENGGARA,70.21,12.43,9.11,10479.0,71.06,2021
KABUPATEN BOLAANG MONGONDOW SELATAN,64.49,12.3,8.15,8939.0,65.42,2021
KABUPATEN BOLAANG MONGONDOW TIMUR,67.94,11.86,7.93,9115.0,66.55,2021
KOTA MANADO,71.9,14.16,11.42,13991.0,79.2,2021
KOTA BITUNG,71.1,12.62,9.89,12271.0,74.2,2021
KOTA TOMOHON,72.06,14.21,10.74,11851.0,76.86,2021
KOTA KOTAMOBAGU,70.6,12.88,10.31,10848.0,73.47,2021
KABUPATEN BANGGAI KEPULAUAN,66.59,13.07,8.44,7453.0,65.61,2021
KABUPATEN BANGGAI,70.88,13.25,8.53,9603.0,70.6,2021
KABUPATEN MOROWALI,69.23,13.35,9.34,11028.0,72.29,2021
KABUPATEN POSO,71.19,13.71,9.5,8850.0,71.45,2021
KABUPATEN DONGGALA,67.5,12.51,7.98,8002.0,65.72,2021
KABUPATEN TOLI-TOLI,66.18,12.89,8.76,7947.0,66.3,2021
KABUPATEN BUOL,69.05,13.1,9.08,7974.0,68.25,2021
KABUPATEN PARIGI MOUTONG,64.35,12.48,7.74,9675.0,65.82,2021
KABUPATEN TOJO UNA-UNA,65.9,12.29,8.4,7621.0,64.74,2021
KABUPATEN SIGI,70.09,12.88,8.82,8171.0,68.49,2021
KABUPATEN BANGGAI LAUT,65.67,12.96,8.63,7707.0,65.65,2021
KABUPATEN MOROWALI UTARA,69.71,12.25,8.72,8890.0,68.48,2021
KOTA PALU,71.09,16.28,11.72,14894.0,81.7,2021
KABUPATEN KEPULAUAN SELAYAR,68.52,12.66,8.08,9060.0,67.76,2021
KABUPATEN BULUKUMBA,68.1,13.41,7.82,10632.0,69.62,2021
KABUPATEN BANTAENG,70.6,12.05,6.77,11829.0,68.99,2021
KABUPATEN JENEPONTO,66.49,12.1,6.6,9215.0,64.56,2021
KABUPATEN TAKALAR,67.3,12.42,7.49,10543.0,67.72,2021
KABUPATEN GOWA,70.45,13.65,8.2,9504.0,70.29,2021
KABUPATEN SINJAI,67.38,13.06,7.78,9505.0,67.75,2021
KABUPATEN MAROS,69.04,13.16,8.01,11032.0,70.41,2021
KABUPATEN PANGKAJENE DAN KEPULAUAN,66.78,12.77,7.92,11519.0,69.21,2021
KABUPATEN BARRU,69.07,13.59,8.24,11017.0,71.13,2021
KABUPATEN BONE,67.21,12.98,7.23,9030.0,66.4,2021
KABUPATEN SOPPENG,69.81,13.05,7.82,9558.0,68.99,2021
KABUPATEN WAJO,67.48,13.15,7.05,12505.0,69.62,2021
KABUPATEN SIDENRENG RAPPANG,70.01,12.95,7.94,12201.0,71.54,2021
KABUPATEN PINRANG,69.77,13.24,7.87,11956.0,71.45,2021
KABUPATEN ENREKANG,70.93,13.71,8.91,10973.0,72.91,2021
KABUPATEN LUWU,70.44,13.39,8.35,10116.0,70.85,2021
KABUPATEN TANA TORAJA,73.4,13.86,8.51,7434.0,69.49,2021
KABUPATEN LUWU UTARA,68.67,12.57,7.86,11736.0,70.02,2021
KABUPATEN LUWU TIMUR,70.63,12.84,8.81,12886.0,73.34,2021
KABUPATEN TORAJA UTARA,73.41,13.39,8.25,8134.0,69.75,2021
KOTA MAKASSAR,72.13,15.58,11.43,17097.0,82.66,2021
KOTA PAREPARE,71.31,14.51,10.65,13786.0,78.21,2021
KOTA PALOPO,70.92,15.09,10.94,13117.0,78.38,2021
KABUPATEN BUTON,68.39,13.76,7.92,7324.0,66.32,2021
KABUPATEN MUNA,70.41,13.8,8.46,8218.0,69.17,2021
KABUPATEN KONAWE,70.32,13.01,9.21,10151.0,71.48,2021
KABUPATEN KOLAKA,71.21,12.83,8.99,12525.0,73.56,2021
KABUPATEN KONAWE SELATAN,70.87,12.37,8.11,9059.0,68.58,2021
KABUPATEN BOMBANA,69.09,11.85,8.04,8310.0,66.25,2021
KABUPATEN WAKATOBI,70.48,13.51,8.16,9280.0,69.87,2021
KABUPATEN KOLAKA UTARA,70.36,12.15,8.22,10244.0,69.5,2021
KABUPATEN BUTON UTARA,70.93,12.92,8.93,7496.0,68.08,2021
KABUPATEN KONAWE UTARA,69.53,13.08,9.3,9181.0,70.23,2021
KABUPATEN KOLAKA TIMUR,72.82,12.69,7.84,7753.0,67.76,2021
KABUPATEN KONAWE KEPULAUAN,68.43,12.32,9.42,6738.0,65.73,2021
KABUPATEN MUNA BARAT,70.35,12.51,7.3,7502.0,65.48,2021
KABUPATEN BUTON TENGAH,67.69,13.12,7.31,7244.0,64.55,2021
KABUPATEN BUTON SELATAN,67.69,13.24,7.54,7279.0,64.99,2021
KOTA KENDARI,73.83,16.89,12.51,14356.0,84.15,2021
KOTA BAUBAU,71.25,15.17,10.91,10503.0,76.26,2021
KABUPATEN BOALEMO,69.3,12.45,7.0,8940.0,66.42,2021
KABUPATEN GORONTALO,67.69,13.18,7.3,9412.0,67.34,2021
KABUPATEN POHUWATO,64.3,12.38,7.26,10409.0,65.8,2021
KABUPATEN BONE BOLANGO,68.52,13.65,8.32,10198.0,70.25,2021
KABUPATEN GORONTALO UTARA,65.93,12.46,7.15,9064.0,65.21,2021
KOTA GORONTALO,72.53,14.5,10.37,12390.0,77.41,2021
KABUPATEN MAJENE,61.77,13.62,8.91,10028.0,67.29,2021
KABUPATEN POLEWALI MANDAR,62.53,13.38,7.44,8548.0,64.23,2021
KABUPATEN MAMASA,70.94,12.36,7.88,7736.0,66.63,2021
KABUPATEN MAMUJU,67.77,13.24,7.96,9494.0,68.32,2021
KABUPATEN PASANGKAYU,66.45,11.95,8.09,11072.0,68.03,2021
KABUPATEN MAMUJU TENGAH,68.55,12.53,7.51,8408.0,66.18,2021
KABUPATEN KUANTAN SINGINGI ,68.6,13.34,8.75,10309.0,70.6,2021
KABUPATEN INDRAGIRI HULU,70.26,12.46,8.39,10260.0,70.01,2021
KABUPATEN INDRAGIRI HILIR,67.98,11.93,7.24,9945.0,66.63,2021
KABUPATEN PELALAWAN,71.24,12.41,8.7,11672.0,72.08,2021
KABUPATEN SIAK,71.13,12.81,9.86,11807.0,73.98,2021
KABUPATEN KAMPAR,70.83,13.55,9.27,10858.0,73.02,2021
KABUPATEN ROKAN HULU,70.18,12.85,8.54,9406.0,69.67,2021
KABUPATEN BENGKALIS,71.24,12.88,9.7,11415.0,73.58,2021
KABUPATEN ROKAN HILIR,70.39,12.76,8.26,9417.0,69.34,2021
KABUPATEN KEPULAUAN MERANTI,67.78,12.83,7.84,7780.0,65.7,2021
KOTA PEKANBARU,72.41,15.55,11.92,14360.0,81.58,2021
KOTA DUMAI,70.98,13.31,10.14,11818.0,74.75,2021
KABUPATEN MLUKU TENGGARA BARAT,63.45,12.3,9.69,6335.0,62.97,2021
KABUPATEN MALUKU TENGGARA,65.14,12.82,9.76,7580.0,66.33,2021
KABUPATEN MALUKU TENGAH,66.45,14.17,9.68,10243.0,71.32,2021
KABUPATEN BURU,66.44,13.04,8.79,10347.0,69.33,2021
KABUPATEN KEPULAUAN ARU,62.96,12.31,8.83,7623.0,63.83,2021
KABUPATEN SERAM BAGIAN BARAT,61.85,13.48,8.92,8720.0,65.83,2021
KABUPATEN SERAM BAGIAN TIMUR,59.62,12.77,8.46,9480.0,64.3,2021
KABUPATEN MALUKU BARAT DAYA,62.55,12.35,8.59,6918.0,62.37,2021
KABUPATEN BURU SELATAN,66.36,12.7,7.95,7600.0,64.8,2021
KOTA AMBON,70.63,16.04,12.2,14148.0,81.23,2021
KOTA TUAL,65.68,13.98,10.53,7405.0,68.16,2021
KABUPATEN HALMAHERA BARAT,66.34,13.2,8.37,7467.0,65.56,2021
KABUPATEN HALMAHERA TENGAH,64.15,13.11,9.01,7966.0,65.82,2021
KABUPATEN KEPULAUAN SULA,63.39,12.77,9.0,7040.0,63.8,2021
KABUPATEN HALMAHERA SELATAN,65.93,12.79,8.1,7142.0,64.19,2021
KABUPATEN HALMAHERA UTARA,69.61,13.61,8.62,7519.0,67.82,2021
KABUPATEN HALMAHERA TIMUR,69.08,12.76,8.27,7973.0,67.0,2021
KABUPATEN PULAU MOROTAI,67.35,12.93,7.4,6378.0,62.9,2021
KABUPATEN PULAU TALIABU,62.22,12.65,7.67,6467.0,60.73,2021
KOTA TERNATE,71.06,15.75,11.81,13290.0,80.14,2021
KOTA TIDORE KEPULAUAN,69.43,14.32,9.95,8316.0,70.99,2021
KABUPATEN FAKFAK,68.5,14.63,8.97,7446.0,68.52,2021
KABUPATEN KAIMANA,64.93,12.41,8.58,8151.0,65.31,2021
KABUPATEN TELUK WONDAMA,60.24,11.63,7.08,8034.0,60.33,2021
KABUPATEN TELUK BINTUNI,60.99,12.42,8.22,9708.0,64.65,2021
KABUPATEN MANOKWARI,68.82,13.66,8.34,11977.0,72.02,2021
KABUPATEN SORONG SELATAN,66.39,13.17,7.49,6188.0,62.46,2021
KABUPATEN SORONG,66.22,13.72,8.33,7350.0,65.77,2021
KABUPATEN RAJA AMPAT,64.83,12.06,8.02,7882.0,63.92,2021
KABUPATEN TAMBRAUW,60.2,12.18,5.39,4903.0,53.71,2021
KABUPATEN MAYBRAT,65.25,13.47,6.96,5245.0,59.7,2021
KABUPATEN MANOKWARI SELATAN,67.6,12.35,6.63,5505.0,59.85,2021
KABUPATEN PEGUNUNGAN ARFAK,67.26,11.72,5.12,5009.0,56.13,2021
KOTA SORONG,70.93,14.39,11.19,13744.0,78.49,2021
KABUPATEN MERAUKE,67.07,14.14,8.73,10201.0,70.49,2021
KABUPATEN JAYAWIJAYA,59.9,12.53,5.6,7545.0,58.67,2021
KABUPATEN JAYAPURA,67.16,14.39,10.05,9989.0,72.03,2021
KABUPATEN NABIRE,68.15,12.18,10.01,8856.0,69.15,2021
KABUPATEN KEPULAUAN YAPEN,69.17,12.74,9.47,7491.0,67.72,2021
KABUPATEN BIAK NUMFOR,68.29,14.2,10.34,9607.0,72.33,2021
KABUPATEN PANIAI,66.62,10.5,4.77,6377.0,56.7,2021
KABUPATEN PUNCAK JAYA,65.33,7.49,3.74,5289.0,48.99,2021
KABUPATEN MIMIKA,72.36,12.69,10.18,11400.0,74.48,2021
KABUPATEN BOVEN DIGOEL,60.32,11.08,8.79,7864.0,61.62,2021
KABUPATEN MAPPI,65.31,10.79,6.51,6327.0,58.7,2021
KABUPATEN ASMAT,58.59,9.3,5.08,5736.0,51.29,2021
KABUPATEN YAHUKIMO,66.05,7.62,4.27,4895.0,49.48,2021
KABUPATEN PEGUNUNGAN BINTANG,64.54,6.47,3.04,5429.0,46.28,2021
KABUPATEN TOLIKARA,65.83,8.61,3.65,4841.0,49.6,2021
KABUPATEN SARMI,66.46,12.29,8.83,6617.0,63.94,2021
KABUPATEN KEEROM,66.78,12.43,8.02,8926.0,66.49,2021
KABUPATEN WAROPEN,66.42,12.8,9.21,6788.0,65.1,2021
KABUPATEN SUPIORI,66.06,13.0,8.87,5708.0,62.72,2021
KABUPATEN MAMBERAMO RAYA,58.0,11.8,5.87,4603.0,52.18,2021
KABUPATEN NDUGA,55.43,3.87,1.42,3976.0,32.84,2021
KABUPATEN LANNY JAYA,66.11,8.89,3.43,4393.0,48.68,2021
KABUPATEN MAMBERAMO TENGAH,63.75,9.22,3.33,4487.0,48.32,2021
KABUPATEN YALIMO,65.49,9.32,3.01,4664.0,49.01,2021
KABUPATEN PUNCAK,65.86,5.4,2.16,5412.0,43.17,2021
KABUPATEN DOGIYAI,65.85,10.59,4.94,5415.0,55.0,2021
KABUPATEN INTAN JAYA,65.69,7.66,3.09,5328.0,48.34,2021
KABUPATEN DEIYAI,65.36,9.82,3.25,4673.0,49.96,2021
KOTA JAYAPURA,70.52,15.02,11.57,14937.0,80.11,2021
KABUPATEN KERINCI,70.0,13.88,8.56,10184.0,71.45,2021
KABUPATEN MERANGIN,71.29,12.04,7.9,10380.0,69.53,2021
KABUPATEN SAROLANGUN,69.21,12.28,8.04,11792.0,70.25,2021
KABUPATEN BATANG HARI,70.64,12.93,8.12,10032.0,70.11,2021
KABUPATEN MUARO JAMBI,71.32,12.84,8.58,8825.0,69.55,2021
KABUPATEN TANJUNG JABUNG TIMUR,66.34,12.17,6.92,9163.0,64.91,2021
KABUPATEN TANJUNG JABUNG BARAT,68.17,12.63,8.0,9699.0,68.16,2021
KABUPATEN TEBO,70.02,12.64,7.59,10546.0,69.35,2021
KABUPATEN BUNGO,67.83,12.63,8.28,11670.0,70.15,2021
KOTA JAMBI,72.71,15.37,11.2,12240.0,79.12,2021
KOTA SUNGAI PENUH,72.21,14.8,10.33,10454.0,75.7,2021
KABUPATEN OGAN KOMERING ULU,68.24,12.83,8.71,10040.0,69.6,2021
KABUPATEN OGAN KOMERING ILIR,68.67,11.68,7.05,10755.0,67.17,2021
KABUPATEN MUARA ENIM,69.02,11.98,7.8,10995.0,68.86,2021
KABUPATEN LAHAT,66.16,12.35,8.52,9735.0,67.58,2021
KABUPATEN MUSI RAWAS,68.26,12.19,7.53,9550.0,67.01,2021
KABUPATEN MUSI BANYUASIN,68.84,12.29,7.63,10140.0,68.1,2021
KABUPATEN BANYU ASIN,69.06,11.77,7.44,9860.0,67.13,2021
KABUPATEN OGAN KOMERING ULU SELATAN,67.07,11.76,7.85,8585.0,65.34,2021
KABUPATEN OGAN KOMERING ULU TIMUR,69.17,12.45,7.56,11531.0,69.58,2021
KABUPATEN OGAN ILIR,65.6,12.31,7.87,10454.0,67.17,2021
KABUPATEN EMPAT LAWANG,65.13,12.07,7.64,9400.0,65.39,2021
KABUPATEN PENUKAL ABAB LEMATANG ILIR,68.33,12.17,7.05,8210.0,64.88,2021
KABUPATEN MUSI RAWAS UTARA,65.76,11.58,7.09,9855.0,64.93,2021
KOTA PALEMBANG,71.01,14.42,10.75,14704.0,78.72,2021
KOTA PRABUMULIH,70.47,12.92,9.97,12752.0,74.67,2021
KOTA PAGAR ALAM,66.85,13.05,9.4,8877.0,68.68,2021
KOTA LUBUKLINGGAU,69.39,13.38,9.9,13267.0,74.89,2021
KABUPATEN BENGKULU SELATAN,67.93,13.62,9.27,9916.0,70.75,2021
KABUPATEN REJANG LEBONG,68.75,13.93,8.33,10323.0,70.77,2021
KABUPATEN BENGKULU UTARA,68.27,12.88,8.09,10410.0,69.28,2021
KABUPATEN KAUR,66.73,13.06,8.38,8638.0,67.17,2021
KABUPATEN SELUMA,67.9,13.29,8.0,8256.0,67.03,2021
KABUPATEN MUKOMUKO,66.73,12.74,8.3,10405.0,68.64,2021
KABUPATEN LEBONG,63.4,12.58,8.18,11317.0,67.46,2021
KABUPATEN KEPAHIANG,68.08,13.12,8.29,9377.0,68.62,2021
KABUPATEN BENGKULU TENGAH,68.19,13.28,7.48,9471.0,67.96,2021
KOTA BENGKULU,70.2,16.03,11.8,14108.0,80.54,2021
KABUPATEN LAMPUNG BARAT,67.65,12.26,8.07,9969.0,67.9,2021
KABUPATEN TANGGAMUS,68.67,12.19,7.34,9266.0,66.65,2021
KABUPATEN LAMPUNG SELATAN,69.42,12.52,7.7,9931.0,68.49,2021
KABUPATEN LAMPUNG TIMUR,70.78,12.86,7.77,10026.0,69.66,2021
KABUPATEN LAMPUNG TENGAH,69.87,12.93,7.59,11259.0,70.23,2021
KABUPATEN LAMPUNG UTARA,69.3,12.49,8.34,8737.0,67.89,2021
KABUPATEN WAY KANAN,69.46,12.37,7.71,9173.0,67.57,2021
KABUPATEN TULANGBAWANG,70.01,11.95,7.55,10735.0,68.73,2021
KABUPATEN PESAWARAN,69.15,12.59,7.71,7934.0,66.14,2021
KABUPATEN PRINGSEWU,70.27,12.84,8.39,10302.0,70.45,2021
KABUPATEN MESUJI,68.26,11.64,7.08,7980.0,64.04,2021
KABUPATEN TULANG BAWANG BARAT,70.03,12.06,7.39,8422.0,66.22,2021
KABUPATEN PESISIR BARAT,63.66,12.0,8.19,8533.0,64.3,2021
KOTA BANDAR LAMPUNG,71.42,14.7,10.95,12247.0,77.58,2021
KOTA METRO,71.66,14.75,10.97,11916.0,77.49,2021
KABUPATEN BANGKA,71.14,12.78,8.25,12424.0,72.46,2021
KABUPATEN BELITUNG,71.1,11.86,8.47,13563.0,72.57,2021
KABUPATEN BANGKA BARAT,70.08,11.7,7.44,12269.0,69.6,2021
KABUPATEN BANGKA TENGAH,71.52,12.1,7.2,12945.0,70.89,2021
KABUPATEN BANGKA SELATAN,68.35,11.38,6.71,11768.0,67.06,2021
KABUPATEN BELITUNG TIMUR,72.1,11.63,8.47,11760.0,71.42,2021
KOTA PANGKAL PINANG,73.41,13.16,10.13,15716.0,78.57,2021
KABUPATEN KARIMUN,71.11,12.57,8.18,11879.0,71.7,2021
KABUPATEN BINTAN,70.46,13.26,8.67,14393.0,74.57,2021
KABUPATEN NATUNA,65.31,13.91,8.92,14711.0,73.09,2021
KABUPATEN LINGGA,62.39,12.59,6.88,11938.0,65.83,2021
KABUPATEN KEPULAUAN ANAMBAS,67.36,12.88,7.34,11950.0,69.23,2021
KOTA B A T A M,73.36,13.17,11.15,18034.0,81.12,2021
KOTA TANJUNG PINANG,72.18,14.13,10.26,15439.0,78.93,2021
KABUPATEN SIMEULUE,65.28,13.9,9.48,7148.0,66.41,2021
KABUPATEN ACEH SINGKIL,67.43,14.32,8.68,8776.0,69.22,2021
KABUPATEN ACEH SELATAN,64.4,14.6,8.88,8180.0,67.44,2021
KABUPATEN ACEH TENGGARA,68.22,14.01,9.67,8030.0,69.44,2021
KABUPATEN ACEH TIMUR,68.74,13.04,8.21,8577.0,67.83,2021
KABUPATEN ACEH TENGAH,68.86,14.28,9.86,10780.0,73.37,2021
KABUPATEN ACEH BARAT,67.99,14.61,9.55,9593.0,71.67,2021
KABUPATEN ACEH BESAR,69.79,14.73,10.33,9644.0,73.58,2021
KABUPATEN PIDIE,66.95,14.47,9.0,9860.0,70.7,2021
KABUPATEN BIREUEN,71.26,14.84,9.29,8867.0,72.33,2021
KABUPATEN ACEH UTARA,68.81,14.71,8.64,8201.0,69.46,2021
KABUPATEN ACEH BARAT DAYA,65.06,13.65,8.67,8428.0,66.99,2021
KABUPATEN GAYO LUES,65.53,13.78,8.4,8856.0,67.56,2021
KABUPATEN ACEH TAMIANG,69.63,13.76,8.91,8367.0,69.48,2021
KABUPATEN NAGAN RAYA,69.24,14.14,8.69,8292.0,69.31,2021
KABUPATEN ACEH JAYA,67.19,13.99,8.71,9666.0,69.84,2021
KABUPATEN BENER MERIAH,69.26,13.47,10.0,11118.0,73.27,2021
KABUPATEN PIDIE JAYA,70.18,14.97,9.34,10290.0,73.6,2021
KOTA BANDA ACEH,71.52,17.8,12.83,16891.0,85.71,2021
KOTA SABANG,70.56,14.13,11.18,11378.0,76.11,2021
KOTA LANGSA,69.43,15.63,11.12,12067.0,77.44,2021
KOTA LHOKSEUMAWE,71.64,15.21,11.11,11390.0,77.57,2021
KOTA SUBULUSSALAM,64.07,14.62,8.03,7385.0,65.27,2021
KABUPATEN NIAS,70.06,13.04,5.88,7196.0,63.69,2022
KABUPATEN MANDAILING NATAL,63.05,13.85,8.76,10061.0,68.05,2022
KABUPATEN TAPANULI SELATAN,65.28,13.37,9.34,11727.0,70.92,2022
KABUPATEN TAPANULI TENGAH,67.58,13.24,8.86,10495.0,70.31,2022
KABUPATEN TAPANULI UTARA,69.16,13.72,10.0,11892.0,74.14,2022
KABUPATEN TOBA SAMOSIR,70.76,13.58,10.58,12475.0,75.96,2022
KABUPATEN LABUHAN BATU,70.37,12.95,9.4,11474.0,72.92,2022
KABUPATEN ASAHAN,68.73,12.63,8.82,11515.0,71.13,2022
KABUPATEN SIMALUNGUN,71.78,12.81,9.63,11524.0,73.77,2022
KABUPATEN DAIRI,69.64,13.24,9.72,10740.0,72.56,2022
KABUPATEN KARO,72.03,12.95,10.02,12554.0,75.36,2022
KABUPATEN DELI SERDANG,72.07,13.38,10.27,12657.0,76.19,2022
KABUPATEN LANGKAT,69.39,13.26,8.68,11439.0,71.86,2022
KABUPATEN NIAS SELATAN,69.21,12.48,6.23,7195.0,63.17,2022
KABUPATEN HUMBANG HASUNDUTAN,70.02,13.31,10.0,8250.0,70.32,2022
KABUPATEN PAKPAK BHARAT,66.44,13.89,9.39,8558.0,68.85,2022
KABUPATEN SAMOSIR,71.82,13.5,9.46,8991.0,71.67,2022
KABUPATEN SERDANG BEDAGAI,69.21,12.63,8.71,11499.0,71.21,2022
KABUPATEN BATU BARA,67.55,12.93,8.26,10755.0,69.51,2022
KABUPATEN PADANG LAWAS UTARA,67.53,13.23,9.46,10447.0,70.93,2022
KABUPATEN PADANG LAWAS,67.43,13.41,9.31,9207.0,69.58,2022
KABUPATEN LABUHAN BATU SELATAN,69.16,13.12,8.92,11751.0,72.16,2022
KABUPATEN LABUHAN BATU UTARA,69.91,13.29,8.64,12258.0,72.77,2022
KABUPATEN NIAS UTARA,69.9,13.06,6.78,6575.0,63.75,2022
KABUPATEN NIAS BARAT,69.43,12.97,6.97,6152.0,62.93,2022
KOTA SIBOLGA,69.77,13.3,10.43,12135.0,74.74,2022
KOTA TANJUNG BALAI,63.87,12.9,9.55,11589.0,69.86,2022
KOTA PEMATANG SIANTAR,74.25,14.59,11.31,12744.0,79.7,2022
KOTA TEBING TINGGI,71.29,12.91,10.65,13144.0,76.17,2022
KOTA MEDAN,73.58,14.77,11.5,15503.0,81.76,2022
KOTA BINJAI,72.79,13.87,11.18,11358.0,76.95,2022
