Cakupan,UHH,HLS,RLS,Pengeluaran,IPM,Tahun
KABUPATEN JEMBRANA,72.35,12.65,8.23,11790.0,72.36,2020
KABUPATEN TABANAN,73.65,13.0,8.88,14494.0,76.17,2020
KABUPATEN BADUNG,75.1,13.98,10.39,17503.0,81.6,2020
KABUPATEN GIANYAR,73.68,13.89,9.04,14544.0,77.36,2020
KABUPATEN KLUNGKUNG,71.25,12.99,8.13,11376.0,71.73,2020
KABUPATEN BANGLI,70.52,12.34,7.17,11268.0,69.36,2020
KABUPATEN KARANG ASEM,70.47,12.41,6.32,10237.0,67.35,2020
KABUPATEN BULELENG,71.83,13.07,7.24,13463.0,72.55,2020
KOTA DENPASAR,74.82,14.0,11.47,19723.0,83.93,2020
KABUPATEN LOMBOK BARAT,66.94,13.71,6.41,11304.0,68.2,2020
KABUPATEN LOMBOK TENGAH,66.21,13.67,6.28,9952.0,66.43,2020
KABUPATEN LOMBOK TIMUR,65.97,13.69,6.7,9409.0,66.3,2020
KABUPATEN SUMBAWA,67.54,13.06,7.92,9146.0,67.61,2020
KABUPATEN DOMPU,66.82,13.32,8.44,8889.0,67.84,2020
KABUPATEN BIMA,66.33,13.29,7.78,8468.0,66.3,2020
KABUPATEN SUMBAWA BARAT,68.07,13.62,8.66,11536.0,71.63,2020
KABUPATEN LOMBOK UTARA,67.17,12.72,5.91,9006.0,64.42,2020
KOTA MATARAM,71.76,15.59,9.46,14968.0,78.91,2020
KOTA BIMA,70.38,15.0,10.49,11105.0,75.81,2020
KABUPATEN SUMBA BARAT,67.08,13.11,6.6,7321.0,63.53,2020
KABUPATEN SUMBA TIMUR,65.13,12.82,7.12,9406.0,65.52,2020
KABUPATEN KUPANG,64.63,13.85,7.38,7526.0,64.32,2020
KABUPATEN TIMOR TENGAH SELATAN,66.42,12.57,6.73,6861.0,62.15,2020
KABUPATEN TIMOR TENGAH UTARA,66.96,13.31,7.81,6364.0,63.53,2020
KABUPATEN BELU,64.61,12.27,7.35,7479.0,62.68,2020
KABUPATEN ALOR,61.48,12.23,8.41,6786.0,61.33,2020
KABUPATEN LEMBATA,67.07,12.42,8.22,7305.0,64.74,2020
KABUPATEN FLORES TIMUR,65.2,12.91,7.71,7631.0,64.22,2020
KABUPATEN SIKKA,67.24,13.16,6.94,8081.0,65.11,2020
KABUPATEN ENDE,65.29,13.78,7.81,9094.0,67.04,2020
KABUPATEN NGADA,68.04,12.7,8.52,8865.0,67.88,2020
KABUPATEN MANGGARAI,67.03,13.41,7.37,7203.0,64.54,2020
KABUPATEN ROTE NDAO,64.6,13.18,7.59,6539.0,62.39,2020
KABUPATEN MANGGARAI BARAT,67.38,12.28,7.3,7468.0,63.89,2020
KABUPATEN SUMBA TENGAH,68.38,12.96,6.25,6108.0,61.53,2020
KABUPATEN SUMBA BARAT DAYA,68.53,13.06,6.34,6372.0,62.28,2020
KABUPATEN NAGEKEO,67.13,12.48,7.89,8309.0,65.81,2020
KABUPATEN MANGGARAI TIMUR,68.04,11.99,7.08,5818.0,60.85,2020
KABUPATEN SABU RAIJUA,60.64,13.14,6.65,5265.0,57.02,2020
KABUPATEN MALAKA,64.97,12.78,6.87,5901.0,60.21,2020
KOTA KUPANG,69.55,16.4,11.58,13337.0,79.71,2020
KABUPATEN SAMBAS,68.93,12.61,6.71,9858.0,67.03,2020
KABUPATEN BENGKAYANG,73.83,12.09,6.76,9102.0,67.87,2020
KABUPATEN LANDAK,72.84,12.4,7.11,7357.0,65.98,2020
KABUPATEN MEMPAWAH,71.04,12.39,7.03,7801.0,65.74,2020
KABUPATEN SANGGAU,71.42,11.57,7.15,8245.0,65.77,2020
KABUPATEN KETAPANG,71.1,11.8,7.31,9163.0,67.17,2020
KABUPATEN SINTANG,71.71,12.03,7.07,8728.0,66.88,2020
KABUPATEN KAPUAS HULU,72.52,12.05,7.52,7162.0,65.69,2020
KABUPATEN SEKADAU,71.84,11.88,6.83,7434.0,64.76,2020
